1,7.5,82,10.8,20
1,3.6,64,10.8,40
1,3.1,59,18,350
1,2.6,53,21.6,350
1,3.1,53,23.4,330
1,3.3,55,27,340
1,3.3,56,27,350
1,1.3,55,7.2,100
1,2.4,65,9,110
1,2.3,72,14.4,120
1,2.7,66,10.8,120
1,2.9,45,7.2,300
1,4.3,53,9,340
1,3.7,52,14.4,330
1,2.5,50,5.4,50
1,3.9,67,12.6,120
1,2.8,69,12.6,120
1,1.9,69,12.6,120
1,2.4,65,10.8,110
1,4.1,51,14.4,350
1,5.1,53,16.2,340
1,5.6,55,23.4,360
1,4.9,58,12.6,40
1,4.9,62,9,50
1,2.2,57,7.2,50
1,0.4,62,5.4,120
1,0.2,58,5.4,110
1,2.5,46,7.2,270
1,6.7,50,3.6,280
1,6.5,51,5.4,150
1,4.9,54,1.8,120
1,-1.5,36,7.2,30
1,1.7,58,9,120
1,1.1,62,9,120
1,0.7,51,5.4,120
1,8.4,62,9,280
1,2.8,40,16.2,340
1,6.8,53,21.6,350
1,9.3,65,16.2,350
1,5,61,12.6,120
1,6,71,10.8,120
1,6.2,76,10.8,120
1,7,70,10.8,120
1,10.1,65,12.6,270
1,11.1,63,12.6,320
1,11.4,72,16.2,340
1,11,74,9,40
1,9.4,71,9,40
1,7.7,69,3.6,110
1,6.5,76,7.2,120
1,4.4,53,1.8,30
1,9.3,54,7.2,330
1,-4,15,16.2,100
1,-4.8,15,9,120
1,1.2,32,3.6,130
1,-3.9,21,16.2,100
1,-3.9,22,12.6,100
1,-3.3,26,3.6,140
1,0.1,32,0,0
1,6.4,44,9,260
1,8.4,46,10.8,220
1,10.7,63,9,210
1,14.8,83,9,260
1,12.5,77,9,290
1,12.2,86,5.4,170
1,10.8,88,10.8,110
1,10.3,79,9,110
1,11.4,64,10.8,240
1,12.7,70,16.2,240
1,12.6,74,10.8,290
1,11,70,5.4,40
1,11,75,9,40
1,8.6,69,5.4,90
1,7.4,70,1.8,130
1,6.4,58,3.6,60
1,7.6,45,5.4,350
1,10.5,55,18,320
1,12.6,68,14.4,330
1,9.4,64,10.8,30
1,7.2,59,5.4,30
1,6.7,65,7.2,140
1,8.3,84,9,120
1,10.3,92,9,140
1,12,80,7.2,270
1,12.1,71,12.6,290
1,9.8,63,16.2,310
1,11.5,71,19.8,320
1,9.9,65,16.2,310
1,9.6,80,9,120
1,9.2,77,14.4,190
1,9.7,80,9,100
1,10.7,86,9,190
1,11.2,75,9,190
1,9.9,67,12.6,310
1,9.3,68,7.2,360
1,10.6,84,5.4,120
